index,county1,county2,higher_gamma_mean_county,approx_diff_prob,delta,reduction_factor,RDET_percent
3963,13123,13129,13129,0.9463,0.05,0.9400000000000001,5.999999999999995
4012,16031,32007,32007,0.9329,0.05,0.9400000000000001,5.999999999999995
4068,32031,32029,32031,0.9339,0.05,0.915,8.499999999999996
4077,32033,32023,32023,0.9091,0.05,0.985,1.5000000000000013
4140,38105,30091,30091,0.943,0.05,0.9400000000000001,5.999999999999995
4202,42067,42099,42099,0.9302,0.05,0.955,4.5000000000000036
4223,45041,45069,45069,0.9934,0.05,0.86,14.000000000000002
4305,21115,21175,21115,0.9921,0.05,0.885,11.5
4306,21125,21235,21235,0.9288,0.05,0.97,3.0000000000000027
4309,21127,21043,21127,0.9216,0.05,0.975,2.500000000000002
4311,21127,21019,21127,0.9903,0.05,0.865,13.5
4323,21197,21049,21197,1.0,0.05,0.73,27.0
4325,21197,21173,21197,1.0,0.05,0.715,28.500000000000004
4332,22025,22021,22021,0.9172,0.05,0.975,2.500000000000002
4338,22041,22021,22021,0.9992,0.05,0.7449999999999999,25.50000000000001
4344,22071,22087,22087,0.8955,0.05,0.995,0.5000000000000004
4345,22075,22087,22087,0.9044,0.05,0.985,1.5000000000000013
4358,22115,22003,22115,0.9906,0.05,0.8200000000000001,17.999999999999993
4431,28055,28163,28163,0.9339,0.05,0.965,3.500000000000003
4432,28055,28125,28125,0.9703,0.05,0.905,9.499999999999996
4446,28105,28155,28155,0.9153,0.05,0.98,2.0000000000000018
4469,29069,5055,29069,0.9683,0.05,0.92,7.9999999999999964
4471,29069,5031,29069,0.9649,0.05,0.925,7.499999999999996
4479,29099,17133,29099,0.9175,0.05,0.97,3.0000000000000027
4483,29099,29186,29099,0.8967,0.05,0.985,1.5000000000000013
4490,29157,29187,29187,0.9234,0.05,0.98,2.0000000000000018
4491,29157,17181,17181,0.9449,0.05,0.9450000000000001,5.499999999999994
4557,13269,13225,13225,0.9639,0.05,0.93,6.999999999999995
4560,20027,20061,20061,0.895,0.05,0.995,0.5000000000000004
4628,47081,47187,47081,0.9784,0.05,0.91,8.999999999999996
4631,47127,47051,47051,0.9403,0.05,0.935,6.499999999999995
4632,47127,47103,47103,0.9785,0.05,0.855,14.500000000000002
4650,47165,47169,47169,0.9808,0.05,0.915,8.499999999999996
4651,47165,47111,47111,0.9374,0.05,0.965,3.500000000000003
4658,48005,48373,48373,0.9491,0.05,0.955,4.5000000000000036
4660,48007,48355,48007,0.9645,0.05,0.91,8.999999999999996
4714,48313,48289,48289,0.9002,0.05,0.985,1.5000000000000013
4723,48333,48281,48281,0.9595,0.05,0.915,8.499999999999996
4732,48411,48281,48281,0.9853,0.05,0.845,15.500000000000004
4755,49003,32007,32007,0.9446,0.05,0.9,9.999999999999998
4756,49015,49019,49019,0.895,0.05,0.99,1.0000000000000009
4780,51073,51095,51073,0.9353,0.05,0.955,4.5000000000000036
